frame_number,timestamp,grand_delta_e,contact_perimeter,contrast,homogeneity,energy,variance_r,variance_g,variance_b,variance_l,variance_a,variance_b_star,variance_delta_e
15,0.499808009817046,4.35880417035276,27604,1.9553402325587137,0.8520505945303709,0.07334350923383343,1832.5965404598073,1923.5011147963244,1918.6135984527493,298.1188167818593,16.0261878520977,29.91210654864829,5.848951175776299
16,0.5331285438048491,4.443320377600126,27531,1.936605650253227,0.8523156668180225,0.07330850620691264,1829.858602263002,1921.4058504791087,1915.1354975215997,297.7306723900996,16.27057532601192,30.197354785555067,6.189594049731653
17,0.5664490777926521,4.727786793912082,27875,1.9880461166546903,0.8506791787925345,0.07293508977438612,1833.5107586861193,1923.5070580474548,1917.4889322215563,298.09005326133257,16.395628418869958,30.514706283960795,7.354822181357674
18,0.5997696117804552,4.78139041354413,27785,1.95638474663743,0.8515582166188502,0.07296590878361804,1830.4256513803498,1921.0121579377017,1914.6795008606664,297.5638392330966,16.572016957926923,30.87302135164461,8.098647185150064
19,0.6330901457682583,4.946392572347189,27755,1.9597578110145617,0.8516590994230244,0.07287180327519636,1827.641225377686,1919.6901348609529,1910.6875147158728,297.22534997670675,16.762486285050514,31.142342384811926,9.268860825948455
20,0.6664106797560613,5.021458767907457,27599,1.9187723626019513,0.8522558375655064,0.07287338048899009,1824.1142807114736,1916.744081011974,1907.7157246767601,296.6966517595185,16.907186473013063,31.28096447095337,9.80490902375825
21,0.6997312137438644,5.17083476625945,27500,1.9436456257577666,0.8516446633997989,0.07264769588263242,1824.0517212124905,1916.8473564710066,1907.6387877904947,296.72145411594545,16.89138707429451,31.242779651345533,10.488310467724764
22,0.7330517477316675,5.157820332007987,27568,1.9354574255567656,0.8519000487265964,0.07266943785782613,1823.4154748177855,1916.7819645176826,1907.0574493550462,296.65535177816275,16.985129613278872,31.413049215971537,10.319236757491518
23,0.7663722817194705,5.170194348394013,27595,1.9375341072120857,0.8517647129493475,0.07261482575401941,1823.21540515178,1916.870907346039,1906.9520385782155,296.6311262886617,17.07307038922049,31.542458003810115,10.321206630210108
24,0.7996928157072736,5.124883831780301,27782,1.9565452511648926,0.8515178250659691,0.07268875373299216,1823.9968760635936,1917.5050991344035,1907.4744254985499,296.78337025291034,17.00884058649806,31.416934928331433,10.14279119843784
25,0.8330133496950767,5.143453545645324,28071,1.9937378541285469,0.8503961194678539,0.07242682957453823,1825.986504573538,1918.455140435213,1907.551761284501,297.0285496459646,16.95118583547873,31.306740461723997,10.184019127184746
26,0.8663338836828797,5.024998802323635,28042,2.000382741565487,0.8503690612224699,0.07250435964328439,1827.0943833778192,1918.631010706344,1907.7808988424292,297.1199129934857,16.87395472992737,31.10593813134351,9.65714640971815
27,0.8996544176706828,4.940075107204948,27980,1.998624599664669,0.8501999046016794,0.07252024005964242,1829.2131896638123,1919.9443578920532,1910.5250284563842,297.4186956847468,16.722088225929383,30.909428172693882,9.334894577801222
28,0.9329749516584858,4.898505084965176,27941,1.9823025238719616,0.8500775542056072,0.07241940058220997,1826.926607112336,1917.1222109658615,1908.3271871362417,296.991788931399,16.608946853197082,30.727511839843146,9.344099609136062
